idx	X	Y
0	1530.765764755446	5256.539205269719
1	1531.411632838175	5255.6880730755
2	1531.411632837183	5255.688073075371
3	1533.294964874839	5244.570733150172
4	1533.294853510646	5244.572892963137
5	1533.758923370549	5243.667589324346
6	1533.761519458003	5243.664575158127
7	1544.995524587459	5211.843689838124
8	1544.995978577935	5211.843262626877
9	1550.923177430353	5199.91687952416
10	1550.924707233008	5199.914303979349
11	1553.524917570322	5189.740465189154
12	1553.525080579697	5189.739922505593
13	1562.626003091042	5168.810067189297
14	1562.626893941916	5168.8091876036
15	1566.856594668358	5152.672639298447
16	1566.856120107346	5152.673147062496
17	1567.61155239841	5148.244634039274
18	1567.61095893246	5148.246571278331
19	1569.553328409712	5138.951817199473
20	1569.552540847225	5138.952761102191
21	1569.753030746519	5137.92313819469
22	1569.753240605228	5137.919055693095
23	1578.575803060398	5107.347710698471
24	1578.57615165166	5107.345630242105
25	1580.673761370334	5101.322764755056
26	1580.675362525894	5101.321400760369
27	1582.162981781042	5091.677805828074
28	1582.162426217138	5091.678389215867
29	1583.059798796028	5082.124584984895
30	1583.061926389559	5082.120973983328
31	1586.548952241763	5061.910838590369
32	1586.54776068922	5061.899156617367
33	1586.154097253708	5055.68054474894
34	1586.156431148052	5055.6693845698
35	1589.048233122006	5033.060450756055
36	1589.049494634209	5033.059494834059
37	1590.101369038257	5021.990307230093
38	1590.105315039998	5021.980717118857
39	1594.006645114474	5003.31403181075
40	1594.005059465553	5003.312515583253
41	1602.441581459844	4983.347223945804
42	1602.443154549665	4983.344570118512
43	1608.500825411073	4967.530973473123
44	1608.499520638007	4967.533864457966
45	1608.698084173438	4966.492971189695
46	1608.698264075434	4966.49253618912
47	1611.751380088967	4957.232443449398
48	1611.744904953623	4957.239910471626
49	1612.889487576147	4952.097477833397
50	1612.893525791778	4952.087916856518
51	1621.758838276524	4932.710812218633
52	1621.756679580055	4932.711501225824
53	1623.289175065111	4928.79853729214
54	1623.296969882091	4928.785898920764
55	1630.96523947916	4908.350157269431
56	1630.963941869451	4908.352175021987
57	1633.583156973525	4895.046357034586
58	1633.598252608275	4895.049968132049
59	1638.806770403195	4881.387459388084
60	1638.806596635904	4881.388715756828
61	1640.876878032741	4871.581241109599
62	1640.876880277236	4871.58123047239
63	1640.960567933736	4870.532663500575
64	1640.965500417698	4870.525355595308
65	1644.529014242107	4858.907364174775
66	1644.525183251421	4858.917464661405
67	1645.490949157366	4852.482703250893
68	1645.491941092343	4852.480287599277
69	1648.270959331929	4840.495419309776
70	1648.269522598001	4840.495784379906
71	1648.654543676093	4837.1503018815
72	1648.655752359044	4837.148926703443
73	1661.582977754818	4803.716190720581
74	1661.57548558165	4803.73067241894
75	1671.893660560858	4767.975047686651
76	1671.897385919481	4767.968686861288
77	1677.117405299156	4757.042926516515
78	1677.143503058042	4756.973127474062
79	1682.786750256695	4731.403374598446
80	1682.774242307759	4731.419416149987
81	1682.491625400471	4730.428591397778
82	1682.495955399045	4730.421712961681
83	1697.196109184194	4690.526378066117
84	1697.185144520513	4690.540074064162
85	1702.41031516509	4675.354699361842
86	1702.410380260663	4675.354535705312
87	1709.101494586326	4650.012187220253
88	1709.094954309775	4650.020630576873
89	1708.851106513403	4649.125647960193
90	1708.864508505741	4649.099558915158
91	1710.064593380488	4634.539859609024
92	1710.056447922783	4634.543425698771
93	2484.662097378238	4422.989775949637
94	2484.816137890683	4422.890153131415
95	2401.045827769572	4070.312276314387
96	2401.042505504144	4070.314134672505
97	2386.573450052856	4034.569353902526
98	2386.57472792243	4034.56993630183
99	2386.118610765957	4033.639848614609
100	2386.110786964879	4033.639034327773
101	2375.598584587362	4014.328708123886
102	2375.611201835158	4014.329291815188
103	2370.385435303257	4005.825433076459
104	2370.384298807873	4005.827027683805
105	2349.038598143706	3981.871620454081
106	2349.038674646764	3981.867048770741
107	2354.356740580532	3976.721900946588
108	2354.357045686187	3976.721748059192
109	2355.270099690747	3975.973196088308
110	2355.264714310959	3975.976070395387
111	2357.983704751922	3973.613672336273
112	2357.985765536594	3973.611846468682
113	2363.185796935379	3970.166380841842
114	2363.186486458669	3970.168902448607
115	2364.037637690227	3969.443317064686
116	2364.039994654439	3969.440942366828
117	2369.697090007819	3962.924087528171
118	2369.697237082927	3962.92404777544
119	2387.967963727677	3946.267215541548
120	2387.966938366336	3946.267147442589
121	2395.095770880391	3941.087807545524
122	2395.100173654144	3941.084911150225
123	2416.224265422222	3926.008512696568
124	2416.225364824334	3926.00896419434
125	2417.082032326169	3925.400212961167
126	2417.079700900684	3925.401592903017
127	2417.976928355405	3924.745056902288
128	2417.978784393496	3924.744383057327
129	2443.629795079503	3909.588049314722
130	2443.6289042578	3909.588577785892
131	2447.355807102124	3907.61581281019
132	2447.355807101126	3907.615812810246
133	2455.865172827785	3902.987897827283
134	2455.873396933523	3902.983010206259
135	2456.804441642211	3902.408288400259
136	2456.804946016473	3902.40804805203
137	2464.468185488108	3898.5019051769
138	2464.472241830245	3898.499641596038
139	2465.438446162286	3897.999979395161
140	2465.438888469909	3897.999063858352
141	2471.192048094957	3895.069107633482
142	2471.201352723396	3895.065152036538
143	2472.129276511944	3894.536295493079
144	2472.130515008893	3894.535641135316
145	2479.673162058001	3890.648260981997
146	2479.672870127568	3890.648423217269
147	2484.335986141695	3888.058662858196
148	2484.334967639751	3888.057544296954
149	2516.079836136966	3872.534397986502
150	2516.084783141439	3872.531750908875
151	2517.090405625036	3872.128494052175
152	2517.090925446329	3872.128492167657
153	2524.789713594009	3868.335019308309
154	2524.792606105936	3868.333496733587
155	2525.632095081869	3867.683701779683
156	2525.628457437662	3867.684171172195
157	2531.293521000885	3864.730065194814
158	2531.294076064129	3864.730125356161
159	2532.224111387492	3864.302867504655
160	2532.220830164953	3864.304738548318
161	2533.191519734943	3863.811300218676
162	2533.196898291436	3863.808953301923
163	2534.131632794739	3863.38584276547
164	2534.134202748462	3863.38518940099
165	2574.843550215747	3845.91806841415
166	2574.844988279941	3845.917442847385
167	2575.665507167172	3845.184206771354
168	2575.664234270756	3845.184701422285
169	2605.118231055194	3833.46786226009
170	2605.119161957755	3833.467642428772
171	2606.107355586368	3833.680431939134
172	2606.107675002175	3833.679936071422
173	2670.345716279796	3806.35469942651
174	2670.347062494077	3806.354255800629
175	2675.122812107486	3804.500350074461
176	2675.120079335968	3804.502471717067
177	2681.146020885608	3801.065127334857
178	2681.077583130452	3801.091164205568
179	2681.250290675953	3801.021625630289
180	2681.180660983419	3801.050625422381
181	2694.605908584326	3794.200561748159
182	2694.606486129702	3794.19966303833
183	2699.504348426437	3792.197711792095
184	2699.51351529754	3792.193249080162
185	2700.53551428811	3791.863739692297
186	2700.542710292271	3791.860225693668
187	2706.519471749511	3789.662845932064
188	2706.520044710564	3789.662343583512
189	2710.528044130016	3788.148011896707
190	2710.530002832909	3788.147229696369
191	2717.680829158296	3786.058875900082
192	2717.680427837618	3786.059068975072
193	2722.700562380043	3784.117692569336
194	2722.702356831292	3784.11748146269
195	2723.66588191487	3783.646465838699
196	2723.669910810025	3783.646156662263
197	2738.840488203432	3778.504930184645
198	2738.846610033347	3778.501875594942
199	2742.014596768542	3777.372000103231
200	2742.013948808703	3777.371653510534
201	2755.229998569624	3773.046117491285
202	2755.231500231349	3773.045549104936
203	2756.961578797898	3771.997787883248
204	2756.960405273345	3771.99816347557
205	2774.461971695368	3763.347455667049
206	2774.466715348052	3763.344522668962
207	2775.891459938914	3763.470800563977
208	2775.879603539356	3763.479606328444
209	2775.191217095944	3765.056609431901
210	2775.19428729784	3765.050701518351
211	2774.483760665032	3763.336657745189
212	2775.898357131447	3763.440086829066
213	2780.016919196156	3760.974969075068
214	2780.01928234438	3760.973459957329
215	2781.065637358195	3760.536677075514
216	2781.062225287091	3760.535697817277
217	2781.959074360947	3759.856753439101
218	2781.961734450089	3759.855176090909
219	2788.950456484041	3756.582752072978
220	2788.947951453642	3756.586085155465
221	2789.949202720062	3756.07126048078
222	2789.953100998954	3756.069765939703
223	2792.384172772924	3754.484474228689
224	2792.388303707533	3754.48184008395
225	2793.238167121338	3753.76968821616
226	2793.238629954631	3753.76925896173
227	2801.190502557461	3750.363609955483
228	2801.196822711883	3750.361506998819
229	2801.98588051513	3749.696102657897
230	2801.97731508125	3749.698345524652
231	2816.17888894833	3742.604260789583
232	2816.177863754333	3742.60478866313
233	2818.764056472794	3740.924110509153
234	2818.761821180682	3740.92514957872
235	2824.367222510014	3737.943060967352
236	2824.369100479454	3737.943128572942
237	2825.231394873245	3737.313247324737
238	2825.233368157923	3737.312705472716
239	2832.012341553788	3732.418587274535
240	2832.010239691036	3732.419839333036
241	2846.346574893153	3723.552469297574
242	2846.34603357872	3723.552718468601
243	2847.06868170609	3722.81398174529
244	2847.06846606885	3722.814535249097
245	2857.603010565503	3715.885621717413
246	2857.607093004104	3715.883795357866
247	2858.395411846332	3715.188572142989
248	2858.389167960827	3715.189527246927
249	2860.025202437056	3713.896815106353
250	2860.024348377918	3713.897211292272
251	2861.993658591364	3712.94633890395
252	2861.993684528594	3712.946190150879
253	2863.412574709366	3711.46775879867
254	2863.412710884912	3711.467681756795
255	2874.82385225643	3704.114597285721
256	2874.824821847256	3704.113968734881
257	2876.459662472991	3702.795275149881
258	2876.45959186696	3702.795367796091
259	2891.450681566071	3694.980289501417
260	2891.451657892727	3694.979808386211
261	2892.270512470782	3694.348651008942
262	2892.270504559312	3694.348696698291
263	2899.29148620864	3689.756533857912
264	2899.294217098784	3689.756168500973
265	2899.991962465769	3688.987200495753
266	2899.989073354695	3688.988169658694
267	2906.874693730276	3682.662910105231
268	2906.876089279497	3682.662621665211
269	2909.082608110076	3681.129632129397
270	2909.06457190193	3681.142870823566
271	2918.20611389186	3674.038669448817
272	2918.213337643143	3674.033199599884
273	2918.807636388108	3673.201907382526
274	2918.790405927119	3673.206289171026
275	2919.267467957079	3672.280261121096
276	2919.267551596939	3672.280111788697
277	2919.856365392979	3671.461274852305
278	2919.855065706729	3671.461159381142
279	2927.693473823468	3666.045587739442
280	2927.704021792799	3666.043093399065
281	2932.475320931324	3662.035129601856
282	2932.475532119268	3662.035011097412
283	2946.285547826516	3654.344441385914
284	2946.285113923632	3654.344525091142
285	2947.041453163894	3653.642426291775
286	2947.041420982449	3653.64241593433
287	2958.238017792205	3647.782282686154
288	2958.238266661491	3647.78232944506
289	2959.042070918346	3647.120425189977
290	2959.038897230075	3647.121417562043
291	2961.791531577788	3645.559487542462
292	2961.791531578746	3645.559487542172
293	2962.512982198274	3644.801005474591
294	2962.512377861441	3644.800963313847
295	2967.185078209098	3642.481666184458
296	2967.187085848447	3642.481227943314
297	2968.13372654144	3642.02614142798
298	2968.135849728322	3642.025906504526
299	2980.323811312769	3635.862481325486
300	2980.328055762807	3635.861427482644
301	2986.977395453517	3632.937217681466
302	2986.977381990473	3632.937195371209
303	2990.753999304045	3631.029153284396
304	2990.756221573428	3631.028337012598
305	2991.639985445432	3630.539450922468
306	2991.639740670382	3630.539569473611
307	2994.363375742128	3629.001607026962
308	2994.3660160521	3629.001092388911
309	2995.138916375621	3628.285321575816
310	2995.140512061136	3628.285008013064
311	2995.899866634128	3627.561698227834
312	2995.90164873512	3627.561741319841
313	3002.061328786148	3623.514080339664
314	3002.064256501938	3623.51368879681
315	3002.911147178556	3622.894962214207
316	3002.904748757977	3622.897497595372
317	3008.037449611111	3619.314315413849
318	3008.037151215753	3619.314468540981
319	3008.744234484087	3618.593506514914
320	3008.744234484964	3618.593506514435
321	3037.998814335891	3604.236300145528
322	3038.003486511237	3604.235324865454
323	3038.604009827163	3603.382135298722
324	3038.60263268701	3603.38288195365
325	3047.001219458637	3597.007328899802
326	3047.032149519254	3596.997363823226
327	3054.5787896827	3594.167869635774
328	3054.578291381923	3594.167880049732
329	3062.271989614062	3589.258335575802
330	3062.27099964567	3589.258670745149
331	3069.309155357457	3586.670045868035
332	3069.310695730191	3586.669446554534
333	3071.301908059057	3585.856811910684
334	3071.302223259346	3585.856668663436
335	3075.375380855573	3584.49448061532
336	3075.374429552176	3584.494830214317
337	3103.031090616741	3573.779311229565
338	3103.045871220897	3573.772823035636
339	3110.64915912708	3570.300449726175
340	3110.649961388965	3570.299121407539
341	3121.402853028815	3566.118436023913
342	3121.406035001753	3566.117783097362
343	3123.321707828417	3565.349397618766
344	3123.318840824132	3565.349867174043
345	3127.030551076604	3563.302369636291
346	3127.026694161704	3563.303720718614
347	3127.952966529919	3562.807485044058
348	3127.956072574844	3562.806243621189
349	3131.887791843227	3561.287059959788
350	3131.8905759086	3561.28630271378
351	3138.644326490851	3558.357082127844
352	3138.643453696949	3558.357168786786
353	3158.198111394661	3550.96176756984
354	3158.202884174069	3550.959882813775
355	3162.074879706593	3549.446501108245
356	3162.064382734755	3549.448966347471
357	3174.839074376157	3544.864034825998
358	3174.836472461208	3544.865286569751
359	3175.795543569279	3544.465427594485
360	3175.795988296418	3544.465272475134
361	3176.651695847183	3543.756519949262
362	3176.651206368261	3543.756865077783
363	3205.133091216975	3535.738350535856
364	3205.133153306285	3535.738329586228
365	3205.907238148026	3535.059267893942
366	3205.907386552445	3535.059273859863
367	3216.143470926117	3532.164947811746
368	3216.144034516893	3532.165186164694
369	3217.055528411372	3531.651007365784
370	3217.041917964344	3531.654386468023
371	3229.39046289946	3528.420289582232
372	3229.393237232959	3528.419873671707
373	3230.42389952684	3528.276486003658
374	3230.423530299227	3528.276402283623
375	3233.461693979077	3527.397679959365
376	3233.459457182354	3527.398477428318
377	3239.614305506763	3525.567143097374
378	3239.612542435535	3525.567425481416
379	3240.659488263837	3525.423081001504
380	3240.663393975569	3525.421582889678
381	3244.541519285637	3523.952929742954
382	3244.541519286628	3523.952929742815
383	3245.514877934967	3523.521850364909
384	3245.516625675068	3523.521243757304
385	3248.413377973583	3522.625158563435
386	3248.41502167413	3522.624682968052
387	3255.306683718137	3520.147998609575
388	3255.307466977872	3520.147720045967
389	3258.242170074459	3519.128770161454
390	3258.243184076168	3519.128693609887
391	3261.343568931995	3519.089146495798
392	3261.342325308128	3519.089634703022
393	3265.222615399332	3516.769866987839
394	3265.221038025137	3516.770611422699
395	3272.091908878408	3514.563210306713
396	3272.069725634771	3514.572577646925
397	3276.026687686718	3513.230057529574
398	3276.026172618655	3513.23091576848
399	3276.974946537687	3512.754983655261
400	3276.970311129547	3512.756743817805
401	3292.105328967947	3506.108660889308
402	3292.113986885563	3506.107146116692
403	3293.066932260664	3505.707030084035
404	3293.062768915125	3505.70789122938
405	3333.357873092756	3489.157953588581
406	3333.361066464092	3489.156946628368
407	3339.270260841703	3487.00279591795
408	3339.272688251463	3487.001044786187
409	3340.073109959497	3486.335441165014
410	3340.073012740158	3486.335480539215
411	3368.571475588683	3475.427984596972
412	3368.576565307486	3475.426169815322
413	3369.58501217032	3475.218489028742
414	3369.587112349843	3475.217524591345
415	3377.465137122027	3472.190855880779
416	3377.464192300547	3472.192140793004
417	3378.3128503	3471.546851219821
418	3378.289076315304	3471.549830424645
419	3425.707633696188	3449.621960783124
420	3425.708050742061	3449.622268057919
421	3426.619991274593	3449.040243896264
422	3426.619437089753	3449.040560023777
423	3447.841417977715	3440.32719818527
424	3447.841025457064	3440.327435256488
425	3454.216476684388	3436.971228975185
426	3454.2158822436	3436.970241339507
427	3469.031618750897	3431.691818542629
428	3469.02641331722	3431.693645434733
429	3470.012645612544	3431.370314045447
430	3470.014150137536	3431.369770441454
431	3472.811840332924	3429.982530657343
432	3472.819087234876	3429.981270987232
433	3473.809233118308	3429.654354987606
434	3473.808857253963	3429.654496906115
435	3510.36593792883	3414.386932839015
436	3510.365937929696	3414.386932838517
